name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews,bad_data,
Guy Pearce,Ely,UNITED KINGDOM,1967,Male,ACTOR,FILM AND THEATRE,ARTS,8890713,85811.38397,5983928,277834.7813,,
Murad V,Istanbul,Turkey,1840,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,753685,5625.169098,172774,17527.55814,,
Burt Reynolds,Lansing,UNITED STATES,1936,Male,ACTOR,FILM AND THEATRE,ARTS,9537663,53920.73059,6907458,264935.0833,,
Léo Delibes,La Flèche,FRANCE,1836,Male,COMPOSER,MUSIC,ARTS,983470,2588.55844,360297,28925.58824,,
Gebhard Leberecht von Blücher,Rostock,GERMANY,1742,Male,MILITARY PERSONNEL,MILITARY,INSTITUTIONS,1329781,3459.499596,461330,36938.36111,,
Liam Gallagher,Burnage,United Kingdom,1972,Male,MUSICIAN,MUSIC,ARTS,7878268,34957.46551,4019405,225093.3714,,
Ernst Zermelo,Berlin,Germany,1871,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,294350,1005.29651,112970,10512.5,,
Arundhati Roy,Assam,India,1961,Female,WRITER,LANGUAGE,HUMANITIES,2400875,11312.99838,1980883,63180.92105,,
Joaquin Phoenix,San Juan,PUERTO RICO,1974,Male,ACTOR,FILM AND THEATRE,ARTS,18004693,125535.9698,12459594,428683.1667,,
Félix Faure,Paris,FRANCE,1841,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1113030,7744.174766,237597,38380.34483,,
Edward Burne-Jones,Birmingham,UNITED KINGDOM,1833,Male,ARTIST,FINE ARTS,ARTS,978336,3245.950738,559421,37628.30769,,
Cesare Lombroso,Verona,ITALY,1835,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY,2246551,9849.472024,624612,59119.76316,,
Rio Ferdinand,Denmark Hill,UNITED KINGDOM,1978,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,6512135,28654.32374,3666778,118402.4545,,
Jiddu Krishnamurti,Madanapalle,India,1895,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,4837210,18550.52175,2340383,107493.5556,,
Lana Turner,Wallace,UNITED STATES,1921,Female,ACTOR,FILM AND THEATRE,ARTS,4293733,17970.56823,3005998,110095.7179,,
Friedrich Daniel Ernst Schleiermacher,Wrocław,POLAND,1768,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,998444,4212.31513,281196,33281.46667,,
Traci Lords,Steubenville,UNITED STATES,1968,Female,PORNOGRAPHIC ACTOR,MEDIA PERSONALITY,PUBLIC FIGURE,11521626,29599.40565,7362461,426726.8889,,
Newt Gingrich,Harrisburg,UNITED STATES,1943,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,7938338,227667.2711,7270221,180416.7727,,
José Sarney,Pinheiro,BRAZIL,1930,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1611679,11339.61864,188187,51989.64516,,
Sergei Bondarchuk,Bilozirka,Ukraine,1920,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,394966,1296.241911,180205,15191,,
Emile Verhaeren,Sint-Amands,BELGIUM,1855,Male,WRITER,LANGUAGE,HUMANITIES,427991,1903.872142,62909,13374.71875,,
Burt Bacharach,Kansas City,UNITED STATES,1928,Male,MUSICIAN,MUSIC,ARTS,3819952,20469.06728,2629827,127331.7333,,
