name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews
Michael Gambon,Dublin,Ireland,1940,Male,ACTOR,FILM AND THEATRE,ARTS,9500529,76936.43877,5454275,279427.3235
Jackson Rathbone,Singapore,Singapore,1984,Male,ACTOR,FILM AND THEATRE,ARTS,9488490,76734.68319,5720666,316283
Noomi Rapace,Hudiksvall,SWEDEN,1979,Female,ACTOR,FILM AND THEATRE,ARTS,9476307,129608.1714,5488133,315876.9
Justin Long,Fairfield,UNITED STATES,1978,Male,ACTOR,FILM AND THEATRE,ARTS,9464248,38136.26264,6879987,350527.7037
Jim Jones,Lynn,UNITED STATES,1931,Male,EXTREMIST,OUTLAWS,PUBLIC FIGURE,9457689,51988.82225,8001900,337774.6071
Topher Grace,New York,UNITED STATES,1978,Male,ACTOR,FILM AND THEATRE,ARTS,9453390,39489.18867,6858535,315113
Teri Hatcher,San Francisco-Bay Area,UNITED STATES,1964,Female,ACTOR,FILM AND THEATRE,ARTS,9447426,31859.96978,5221627,209942.8
Bonnie Wright,London,UNITED KINGDOM,1991,Female,ACTOR,FILM AND THEATRE,ARTS,9444476,99509.61316,4972497,269842.1714
Emmy Rossum,New York,UNITED STATES,1986,Female,ACTOR,FILM AND THEATRE,ARTS,9442334,59615.81263,6573119,112408.7381
Spike Lee,Atlanta,UNITED STATES,1957,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,9430419,46513.6186,6491224,285770.2727
Willem Dafoe,Appleton,United States,1955,Male,ACTOR,FILM AND THEATRE,ARTS,9421892,46138.21271,5645449,235547.3
Cam Gigandet,Tacoma,UNITED STATES,1982,Male,ACTOR,FILM AND THEATRE,ARTS,9420200,56103.71894,5547587,324834.4828
Venus Williams,Los Angeles,UNITED STATES,1980,Female,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,9406611,123132.4778,6130759,154206.7377
Ruud van Nistelrooy,Oss,NETHERLANDS,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,9387911,48212.15006,4178420,167641.2679
Joshua Jackson,Vancouver,CANADA,1978,Male,ACTOR,FILM AND THEATRE,ARTS,9380359,40373.74223,5209992,302592.2258
Zsa Zsa Gábor,Budapest,Hungary,1917,Female,ACTOR,FILM AND THEATRE,ARTS,9376250,134135.8789,7409557,275772.0588
Helen Mirren,Hammersmith,UNITED KINGDOM,1945,Female,ACTOR,FILM AND THEATRE,ARTS,9375156,54399.34606,6490052,199471.4043
Vincent Cassel,Paris,FRANCE,1966,Male,ACTOR,FILM AND THEATRE,ARTS,9373335,59982.84283,3764735,253333.3784
Pete Sampras,Potomac,UNITED STATES,1971,Male,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,9368569,109274.7211,5202554,148707.4444
Alessandra Ambrosio,Erechim,BRAZIL,1981,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,9365378,46320.9987,5540450,260149.3889
Abraham Maslow,New York,UNITED STATES,1908,Male,PSYCHOLOGIST,SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,9361205,35095.58592,3442663,212754.6591
Augusto Pinochet,Valparaíso,CHILE,1915,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,9359759,43939.48619,3027673,123154.7237
Mohammad Reza Pahlavi,Tehran,Iran,1919,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,9359309,63544.55811,4201907,164198.4035
Marlene Dietrich,Schöneberg,Germany,1901,Female,ACTOR,FILM AND THEATRE,ARTS,9348297,30287.84653,4066011,82002.60526
Adam Brody,Carlsbad,UNITED STATES,1979,Male,ACTOR,FILM AND THEATRE,ARTS,9342015,23875.99746,4902284,322138.4483
Diane Keaton,Los Angeles,UNITED STATES,1946,Female,ACTOR,FILM AND THEATRE,ARTS,9338573,43639.40154,5546552,190583.1224
Jay Sean,Harlesden,United Kingdom,1981,Male,SINGER,MUSIC,ARTS,9336516,98810.21315,7766567,333447
Ron Howard,Duncan,United States,1954,Male,ACTOR,FILM AND THEATRE,ARTS,9311530,49350.68055,6314354,216547.2093
Oscar Pistorius,Sandton,SOUTH AFRICA,1986,Male,ATHLETE,INDIVIDUAL SPORTS,SPORTS,9310368,435400.8916,5854174,221675.4286
Clive Owen,Coventry,UNITED KINGDOM,1964,Male,ACTOR,FILM AND THEATRE,ARTS,9308772,32788.35568,5105176,232719.3
Ricky Gervais,Reading,UNITED KINGDOM,1961,Male,ACTOR,FILM AND THEATRE,ARTS,9305205,71829.56359,7998365,320869.1379
