full_name,nickname,gender,type,state,senate_class,party,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Harris,,M,rep,MD,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Vicky Hartzler,,F,rep,MO,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Alcee L. Hastings,,M,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Heinrich,,M,sen,NM,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jaime Herrera Beutler,,F,rep,WA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Higgins,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
James A. Himes,,M,rep,CT,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Mazie K. Hirono,,F,sen,HI,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
John Hoeven,,M,sen,ND,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Steny H. Hoyer,,M,rep,MD,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Steny Hoyer,
Bill Huizenga,,M,rep,MI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Hunter,,M,rep,CA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Isakson,Johnny,M,sen,GA,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Sheila Jackson Lee,,F,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Johnson,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Bernice Johnson,,F,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
"Henry C. ""Hank"" Johnson, Jr.",Hank,M,rep,GA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Johnson,,M,sen,WI,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jordan,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Marcy Kaptur,,F,rep,OH,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Marcy Kaptur,
William R. Keating,,M,rep,MA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Bill Keating (politician),
Mike Kelly,,M,rep,PA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Kind,,M,rep,WI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Peter T. King,Pete,M,rep,NY,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Steve King,,M,rep,IA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,Steve King,
Adam Kinzinger,,M,rep,IL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Lamborn,,M,rep,CO,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
James R. Langevin,Jim,M,rep,RI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
James Lankford,,M,sen,OK,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Larsen,,M,rep,WA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
